,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
136,MOEA-QR-BSA,100,2,0.1,0.4,401.08957491165773,20415,5.150000095367432,False,51,100,0.2
137,BSA,100,2,0.1,0.4,401.08957491165773,20415,5.1539998054504395,False,51,100,0.2
138,MOEA-QR-BSA,100,2,0.1,0.4,12.080013760622382,19065,5.190999984741211,False,51,100,0.2
139,BSA,100,2,0.1,0.4,12.080013760622382,19065,5.166999816894531,False,51,100,0.2
140,MOEA-QR-BSA,100,2,0.3,0.4,698.8060725184258,20508,5.1479997634887695,False,51,100,0.2
141,BSA,100,2,0.3,0.4,698.8060725184258,20508,5.190999984741211,False,51,100,0.2
142,MOEA-QR-BSA,100,2,0.3,0.4,467.61888340742485,20943,5.25600004196167,False,51,100,0.2
143,BSA,100,2,0.3,0.4,467.61888340742485,20943,5.294000148773193,False,51,100,0.2
144,MOEA-QR-BSA,100,2,0.3,0.4,66.56841127812217,21429,5.21999979019165,False,51,100,0.2
145,BSA,100,2,0.3,0.4,66.56841127812217,21429,5.251999855041504,False,51,100,0.2
146,MOEA-QR-BSA,100,2,0.3,0.4,289.48761320292897,19908,6.706999778747559,False,51,100,0.2
147,BSA,100,2,0.3,0.4,289.48761320292897,19908,6.686999797821045,False,51,100,0.2
148,MOEA-QR-BSA,100,2,0.3,0.4,693.2097163209771,21489,5.191999912261963,False,51,100,0.2
149,BSA,100,2,0.3,0.4,693.2097163209771,21489,5.186999797821045,False,51,100,0.2
150,MOEA-QR-BSA,100,2,0.3,0.4,353.0655657458845,19743,5.224999904632568,False,51,100,0.2
151,BSA,100,2,0.3,0.4,353.0655657458845,19743,5.249000072479248,False,51,100,0.2
152,MOEA-QR-BSA,100,2,0.3,0.4,172.7030336774323,20079,5.15500020980835,False,51,100,0.2
153,BSA,100,2,0.3,0.4,172.7030336774323,20079,5.159999847412109,False,51,100,0.2
154,MOEA-QR-BSA,100,2,0.3,0.4,514.0511476145704,20259,5.242000102996826,False,51,100,0.2
155,BSA,100,2,0.3,0.4,514.0511476145704,20259,5.197999954223633,False,51,100,0.2
156,MOEA-QR-BSA,100,2,0.3,0.4,13.64125888863176,19125,5.142000198364258,False,51,100,0.2
157,BSA,100,2,0.3,0.4,13.64125888863176,19125,5.129000186920166,False,51,100,0.2
158,MOEA-QR-BSA,100,2,0.3,0.4,372.064303696383,20586,5.131999969482422,False,51,100,0.2
159,BSA,100,2,0.3,0.4,372.064303696383,20586,5.13700008392334,False,51,100,0.2
160,MOEA-QR-BSA,100,2,0.45,0.4,20.20432623504685,19674,5.250999927520752,False,51,100,0.2
161,BSA,100,2,0.45,0.4,20.20432623504685,19674,5.2829999923706055,False,51,100,0.2
162,MOEA-QR-BSA,100,2,0.45,0.4,316.4778944221099,20394,5.290999889373779,False,51,100,0.2
163,BSA,100,2,0.45,0.4,316.4778944221099,20394,5.285999774932861,False,51,100,0.2
164,MOEA-QR-BSA,100,2,0.45,0.4,703.2822969882426,18897,6.723999977111816,False,51,100,0.2
165,BSA,100,2,0.45,0.4,703.2822969882426,18897,6.7179999351501465,False,51,100,0.2
166,MOEA-QR-BSA,100,2,0.45,0.4,1561.3795264163994,19638,5.185999870300293,False,51,100,0.2
167,BSA,100,2,0.45,0.4,1561.3795264163994,19638,5.164999961853027,False,51,100,0.2
168,MOEA-QR-BSA,100,2,0.45,0.4,22.824889332937193,20097,5.104000091552734,False,51,100,0.2
169,BSA,100,2,0.45,0.4,22.824889332937193,20097,5.098999977111816,False,51,100,0.2
170,MOEA-QR-BSA,100,2,0.45,0.4,619.7776205388998,19743,5.193999767303467,False,51,100,0.2
171,BSA,100,2,0.45,0.4,619.7776205388998,19743,5.2179999351501465,False,51,100,0.2
172,MOEA-QR-BSA,100,2,0.45,0.4,21.028245753826393,19509,5.185999870300293,False,51,100,0.2
173,BSA,100,2,0.45,0.4,21.028245753826393,19509,5.1579999923706055,False,51,100,0.2
174,MOEA-QR-BSA,100,2,0.45,0.4,382.88631634776596,18978,5.178999900817871,False,51,100,0.2
175,BSA,100,2,0.45,0.4,382.88631634776596,18978,5.188000202178955,False,51,100,0.2
176,MOEA-QR-BSA,100,2,0.45,0.4,35.00221056079162,18492,5.125,False,51,100,0.2
177,BSA,100,2,0.45,0.4,35.00221056079162,18492,5.14300012588501,False,51,100,0.2
178,MOEA-QR-BSA,100,2,0.45,0.4,262.9286192080411,18927,5.2170000076293945,False,51,100,0.2
179,BSA,100,2,0.45,0.4,262.9286192080411,18927,5.224999904632568,False,51,100,0.2
180,MOEA-QR-BSA,200,2,0.1,0.0,496.45142681202384,84579,81.33499908447266,False,101,100,0.2
181,BSA,200,2,0.1,0.0,496.45142681202384,84579,81.38500213623047,False,101,100,0.2
182,MOEA-QR-BSA,200,2,0.1,0.0,165.53266495057179,81975,81.19100189208984,False,101,100,0.2
183,BSA,200,2,0.1,0.0,165.53266495057179,81975,81.46199798583984,False,101,100,0.2
184,MOEA-QR-BSA,200,2,0.1,0.0,667.9505991904904,82770,80.92500305175781,False,101,100,0.2
185,BSA,200,2,0.1,0.0,667.9505991904904,82770,81.36399841308594,False,101,100,0.2
186,MOEA-QR-BSA,200,2,0.1,0.0,110.77447335690802,84906,80.83000183105469,False,101,100,0.2
187,BSA,200,2,0.1,0.0,110.77447335690802,84906,81.01300048828125,False,101,100,0.2
188,MOEA-QR-BSA,200,2,0.1,0.0,61.88104385656121,83649,81.25499725341797,False,101,100,0.2
189,BSA,200,2,0.1,0.0,61.88104385656121,83649,81.20500183105469,False,101,100,0.2
190,MOEA-QR-BSA,200,2,0.1,0.0,280.10690005694613,83418,81.4020004272461,False,101,100,0.2
191,BSA,200,2,0.1,0.0,280.10690005694613,83418,81.38500213623047,False,101,100,0.2
192,MOEA-QR-BSA,200,2,0.1,0.0,16.02907596635388,84009,80.86199951171875,False,101,100,0.2
193,BSA,200,2,0.1,0.0,16.02907596635388,84009,80.81199645996094,False,101,100,0.2
194,MOEA-QR-BSA,200,2,0.1,0.0,178.48281307965428,84090,81.5260009765625,False,101,100,0.2
195,BSA,200,2,0.1,0.0,178.48281307965428,84090,81.58200073242188,False,101,100,0.2
196,MOEA-QR-BSA,200,2,0.1,0.0,960.5538646379572,83562,80.04199981689453,False,101,100,0.2
197,BSA,200,2,0.1,0.0,960.5538646379572,83562,81.20600128173828,False,101,100,0.2
198,MOEA-QR-BSA,200,2,0.1,0.0,1746.0278565274552,88200,81.19300079345703,False,101,100,0.2
199,BSA,200,2,0.1,0.0,1746.0278565274552,88200,81.46600341796875,False,101,100,0.2
200,MOEA-QR-BSA,200,2,0.3,0.0,396.6253638912772,84045,81.3740005493164,False,101,100,0.2
201,BSA,200,2,0.3,0.0,396.6253638912772,84045,81.16899871826172,False,101,100,0.2
202,MOEA-QR-BSA,200,2,0.3,0.0,1066.9731174971246,82314,81.1719970703125,False,101,100,0.2
203,BSA,200,2,0.3,0.0,1066.9731174971246,82314,81.2760009765625,False,101,100,0.2
204,MOEA-QR-BSA,200,2,0.3,0.0,98.14732085582878,80979,80.54100036621094,False,101,100,0.2
205,BSA,200,2,0.3,0.0,98.14732085582878,80979,81.39600372314453,False,101,100,0.2
206,MOEA-QR-BSA,200,2,0.3,0.0,35.941290801734155,79665,80.73699951171875,False,101,100,0.2
207,BSA,200,2,0.3,0.0,35.941290801734155,79665,80.8270034790039,False,101,100,0.2
208,MOEA-QR-BSA,200,2,0.3,0.0,30.913417457884282,81447,80.875,False,101,100,0.2
209,BSA,200,2,0.3,0.0,30.913417457884282,81447,80.87799835205078,False,101,100,0.2
210,MOEA-QR-BSA,200,2,0.3,0.0,129.9111726689991,84360,81.14099884033203,False,101,100,0.2
211,BSA,200,2,0.3,0.0,129.9111726689991,84360,81.2509994506836,False,101,100,0.2
212,MOEA-QR-BSA,200,2,0.3,0.0,123.90748716866847,80169,80.75,False,101,100,0.2
213,BSA,200,2,0.3,0.0,123.90748716866847,80169,80.88099670410156,False,101,100,0.2
214,MOEA-QR-BSA,200,2,0.3,0.0,148.84522178540277,84816,80.9520034790039,False,101,100,0.2
215,BSA,200,2,0.3,0.0,148.84522178540277,84816,81.00700378417969,False,101,100,0.2
216,MOEA-QR-BSA,200,2,0.3,0.0,1279.4017660208197,85149,81.31800079345703,False,101,100,0.2
217,BSA,200,2,0.3,0.0,1279.4017660208197,85149,81.13200378417969,False,101,100,0.2
218,MOEA-QR-BSA,200,2,0.3,0.0,32.46076684499648,78264,80.41600036621094,False,101,100,0.2
219,BSA,200,2,0.3,0.0,32.46076684499648,78264,80.74099731445312,False,101,100,0.2
220,MOEA-QR-BSA,200,2,0.45,0.0,3297.9569009007473,83529,81.31300354003906,False,101,100,0.2
221,BSA,200,2,0.45,0.0,3297.9569009007473,83529,81.33200073242188,False,101,100,0.2
222,MOEA-QR-BSA,200,2,0.45,0.0,4309.752216476756,82068,81.23799896240234,False,101,100,0.2
223,BSA,200,2,0.45,0.0,4309.752216476756,82068,81.06600189208984,False,101,100,0.2
224,MOEA-QR-BSA,200,2,0.45,0.0,84.63055434417339,79989,80.74199676513672,False,101,100,0.2
225,BSA,200,2,0.45,0.0,84.63055434417339,79989,80.7509994506836,False,101,100,0.2
226,MOEA-QR-BSA,200,2,0.45,0.0,1104.1857454540366,82506,80.66000366210938,False,101,100,0.2
227,BSA,200,2,0.45,0.0,1104.1857454540366,82506,81.24600219726562,False,101,100,0.2
228,MOEA-QR-BSA,200,2,0.45,0.0,54.2422614300471,76470,81.10600280761719,False,101,100,0.2
229,BSA,200,2,0.45,0.0,54.2422614300471,76470,80.85299682617188,False,101,100,0.2
230,MOEA-QR-BSA,200,2,0.45,0.0,870.4981967912626,77826,82.05400085449219,False,101,100,0.2
231,BSA,200,2,0.45,0.0,870.4981967912626,77826,81.16300201416016,False,101,100,0.2
232,MOEA-QR-BSA,200,2,0.45,0.0,4374.572945305006,78255,81.22699737548828,False,101,100,0.2
233,BSA,200,2,0.45,0.0,4374.572945305006,78255,81.32099914550781,False,101,100,0.2
234,MOEA-QR-BSA,200,2,0.45,0.0,1254.4561306155133,76527,81.02300262451172,False,101,100,0.2
235,BSA,200,2,0.45,0.0,1254.4561306155133,76527,80.95800018310547,False,101,100,0.2
236,MOEA-QR-BSA,200,2,0.45,0.0,474.8818136496096,78153,81.22899627685547,False,101,100,0.2
237,BSA,200,2,0.45,0.0,474.8818136496096,78153,81.18800354003906,False,101,100,0.2
238,MOEA-QR-BSA,200,2,0.45,0.0,444.9017479329097,80208,80.73899841308594,False,101,100,0.2
239,BSA,200,2,0.45,0.0,444.9017479329097,80208,80.81400299072266,False,101,100,0.2
240,MOEA-QR-BSA,200,2,0.1,1.0,770.8269102950087,84582,81.48999786376953,False,101,100,0.2
241,BSA,200,2,0.1,1.0,770.8269102950087,84582,81.63899993896484,False,101,100,0.2
242,MOEA-QR-BSA,200,2,0.1,1.0,1246.0604488966496,82701,81.23999786376953,False,101,100,0.2
243,BSA,200,2,0.1,1.0,1246.0604488966496,82701,81.3270034790039,False,101,100,0.2
244,MOEA-QR-BSA,200,2,0.1,1.0,158.83269189771326,83157,81.44499969482422,False,101,100,0.2
245,BSA,200,2,0.1,1.0,158.83269189771326,83157,81.25900268554688,False,101,100,0.2
