,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
122,MOEA-QR-BSA,30,2,0.1,1.0,2.4049360320441324,13384,1.4859999418258667,True,17,100,0.2
123,BSA,30,2,0.1,1.0,2.4049360320441324,13384,1.4859999418258667,True,17,100,0.2
124,BAB,30,2,0.1,1.0,74.72904389496138,329830,0.5989999771118164,True,17,100,0.2
125,MOEA-QR-BAB,30,2,0.1,1.0,74.72904389496138,1404450,1.906999945640564,True,17,100,0.2
126,MOEA-QR-BSA,30,2,0.1,1.0,74.72904389496134,15785,1.4880000352859497,True,17,100,0.2
127,BSA,30,2,0.1,1.0,74.72904389496134,15785,1.4889999628067017,True,17,100,0.2
128,BAB,30,2,0.1,1.0,144.5595683088926,150295,0.3160000145435333,True,17,100,0.2
129,MOEA-QR-BAB,30,2,0.1,1.0,144.5595683088926,995879,1.2699999809265137,True,17,100,0.2
130,MOEA-QR-BSA,30,2,0.1,1.0,144.55956830889255,15547,1.4880000352859497,True,17,100,0.2
131,BSA,30,2,0.1,1.0,144.55956830889255,15547,1.503000020980835,True,17,100,0.2
132,BAB,30,2,0.1,1.0,25.726623173349978,122924,0.21699999272823334,True,17,100,0.2
133,MOEA-QR-BAB,30,2,0.1,1.0,25.726623173349978,1374017,1.5640000104904175,True,17,100,0.2
134,MOEA-QR-BSA,30,2,0.1,1.0,25.72662317334999,16961,1.4819999933242798,True,17,100,0.2
135,BSA,30,2,0.1,1.0,25.72662317334999,16961,1.4800000190734863,True,17,100,0.2
136,BAB,30,2,0.1,1.0,1.1426512639172328,128514,0.2070000022649765,True,17,100,0.2
137,MOEA-QR-BAB,30,2,0.1,1.0,1.1426512639172328,1217317,1.4490000009536743,True,17,100,0.2
138,MOEA-QR-BSA,30,2,0.1,1.0,1.1426512639172306,14784,1.4670000076293945,True,17,100,0.2
139,BSA,30,2,0.1,1.0,1.1426512639172306,14784,1.4739999771118164,True,17,100,0.2
140,BAB,30,2,0.1,1.0,27.609894283358397,112980,0.22200000286102295,True,17,100,0.2
141,MOEA-QR-BAB,30,2,0.1,1.0,27.609894283358397,878478,1.031999945640564,True,17,100,0.2
142,MOEA-QR-BSA,30,2,0.1,1.0,27.609894283358408,15113,1.5260000228881836,True,17,100,0.2
143,BSA,30,2,0.1,1.0,27.609894283358408,15113,1.475000023841858,True,17,100,0.2
144,BAB,30,2,0.1,1.0,40.3281087811575,90933,0.1379999965429306,True,17,100,0.2
145,MOEA-QR-BAB,30,2,0.1,1.0,40.3281087811575,1160030,1.3700000047683716,True,17,100,0.2
