,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
1316,MOEA-I,1000,10,0.45,0.4,95373.28013652947,100,0.358242005109787,0.9979085335166011,8.698287630603762,8.701187098702123,False,True,506,100,0.2
1317,MOEA-QR,1000,10,0.45,0.4,121264.99382522498,100,2.027806043624878,0.9952914163314618,8.6032967271959,8.609181736073523,False,True,506,100,0.2
1318,MMEA-I,1000,10,0.45,0.4,86207.66223736227,100,0.2146099954843521,0.9982054768268207,7.498032690366533,7.5011917715621195,False,True,506,100,0.2
1319,MMEA-QR,1000,10,0.45,0.4,86864.69482746418,100,0.7754709720611572,0.9984819531312609,7.961585469356326,7.963874427516285,False,True,506,100,0.2
1320,FAST-LTS,1000,10,0.45,0.4,20438.900420575934,18,0.29085800517350435,0.9998103629898826,0.6756230158043219,0.6784211510081142,False,True,506,100,0.2
1321,MOEA-I,1000,10,0.45,0.4,418292.6629180083,100,0.3425630033016205,0.9813876702371803,22.85739272858855,22.86572299289088,False,True,506,100,0.2
1322,MOEA-QR,1000,10,0.45,0.4,393523.94209079037,100,2.046267032623291,0.9891886298243323,21.667907448969924,21.67434501204379,False,True,506,100,0.2
1323,MMEA-I,1000,10,0.45,0.4,375168.59800436534,100,0.21551699936389923,0.9833160716121349,21.39898578392544,21.407645215987593,False,True,506,100,0.2
1324,MMEA-QR,1000,10,0.45,0.4,524223.65175717487,100,0.7690380215644836,0.9955365148492815,28.09695915396056,28.099978790861176,False,True,506,100,0.2
1325,FAST-LTS,1000,10,0.45,0.4,16188.278545455007,20,0.29266900662332773,0.9993773295563295,1.1245781124603498,1.130128379131309,False,True,506,100,0.2
1326,MOEA-I,1000,10,0.45,0.4,195392.1542123375,100,0.36164799332618713,0.9943799817971141,6.228011362388577,6.23787934766617,False,True,506,100,0.2
1327,MOEA-QR,1000,10,0.45,0.4,199620.6975089815,100,2.049485921859741,0.9951304021690327,5.389905024520547,5.399136274038667,False,True,506,100,0.2
1328,MMEA-I,1000,10,0.45,0.4,200588.33533301437,100,0.20987500250339508,0.994549506576949,6.695011179082325,6.704309024711039,False,True,506,100,0.2
1329,MMEA-QR,1000,10,0.45,0.4,208207.27840533335,100,0.7707639932632446,0.987689665074024,5.986896246615861,6.007497325561076,False,True,506,100,0.2
1330,FAST-LTS,1000,10,0.45,0.4,7033.575333612444,14,0.2905170004814863,0.9999663754669336,0.06980589976664234,0.07446656282443269,False,True,506,100,0.2
1331,MOEA-I,1000,10,0.45,0.4,208681.71935465332,100,0.3560679852962494,0.9989458034263206,4.616399635573299,4.619093441003387,False,True,506,100,0.2
1332,MOEA-QR,1000,10,0.45,0.4,224311.72045548886,100,2.027556896209717,0.9989539644999222,5.140010009032806,5.142476153708353,False,True,506,100,0.2
1333,MMEA-I,1000,10,0.45,0.4,195416.1107722164,100,0.21368899941444397,0.9990912750890194,3.8749235390952053,3.8777402228637943,False,True,506,100,0.2
1334,MMEA-QR,1000,10,0.45,0.4,166043.94799893507,100,0.7674090266227722,0.9986870436296622,1.5475905352150168,1.5562347324962709,False,True,506,100,0.2
1335,FAST-LTS,1000,10,0.45,0.4,6654.819710661368,14,0.2897820044308901,0.9997865106541417,0.46417875164689193,0.46891022682343914,False,True,506,100,0.2
1336,MOEA-I,1000,10,0.45,0.4,342677.6011491277,100,0.3514519929885864,0.9908687771455391,10.688615823906789,10.697132981774363,False,True,506,100,0.2
1337,MOEA-QR,1000,10,0.45,0.4,289819.30327104905,100,2.0285630226135254,0.9924634889714924,8.684762123561805,8.693418466863324,False,True,506,100,0.2
1338,MMEA-I,1000,10,0.45,0.4,256858.7690683907,100,0.21325400471687317,0.995404809501194,8.722710901295832,8.728056528404638,False,True,506,100,0.2
1339,MMEA-QR,1000,10,0.45,0.4,280446.12238952855,100,0.7787200212478638,0.991433138820314,9.229876881444467,9.239188937587011,False,True,506,100,0.2
1340,FAST-LTS,1000,10,0.45,0.4,11061.371815222225,16,0.2834299933165312,0.9999254697184741,0.08617102317992417,0.09482142262867393,False,True,506,100,0.2
1341,MOEA-I,1000,10,0.45,0.4,445374.1201255769,100,0.34589099884033203,0.9956951679227928,10.866853996838787,10.870824135301218,False,True,506,100,0.2
1342,MOEA-QR,1000,10,0.45,0.4,461438.36551883037,100,2.008997917175293,0.9923364491547754,6.891093308837938,6.902311342288023,False,True,506,100,0.2
1343,MMEA-I,1000,10,0.45,0.4,429969.2117467438,100,0.2143460065126419,0.9934765089858496,10.764246539443928,10.770292979685925,False,True,506,100,0.2
1344,MMEA-QR,1000,10,0.45,0.4,483514.6759189679,100,0.7713720202445984,0.9900622933033555,8.776004652971057,8.787347550414635,False,True,506,100,0.2
1345,FAST-LTS,1000,10,0.45,0.4,20375.13554455498,11,0.28560099843889475,0.9996479596688993,0.5727622971143603,0.578873244303472,False,True,506,100,0.2
1346,MOEA-I,1000,10,0.45,0.4,339084.0802229891,100,0.34282198548316956,0.9854334776913601,18.100611025850316,18.10933694075395,False,True,506,100,0.2
1347,MOEA-QR,1000,10,0.45,0.4,339728.9270703009,100,2.050262928009033,0.9926077292149756,18.717171406126692,18.72402150421524,False,True,506,100,0.2
1348,MMEA-I,1000,10,0.45,0.4,354661.5990381255,100,0.21284599602222443,0.9934907227307329,18.944862726198448,18.95156658391046,False,True,506,100,0.2
1349,MMEA-QR,1000,10,0.45,0.4,388482.6773641605,100,0.7718080282211304,0.9986636128582124,19.486275799635283,19.490179517748416,False,True,506,100,0.2
1350,FAST-LTS,1000,10,0.45,0.4,1402.6867608353257,11,0.2873139912262559,0.9999893068276023,0.10819649936207873,0.10918989723042055,False,True,506,100,0.2
1351,MOEA-I,1000,10,0.45,0.4,391045.6324907793,100,0.3525860011577606,0.994607500789327,2.0414556907310906,2.067979072547568,False,True,506,100,0.2
1352,MOEA-QR,1000,10,0.45,0.4,498664.3488556928,100,1.9997899532318115,0.9950230224251002,3.9885150020474187,4.0010999559587415,False,True,506,100,0.2
1353,MMEA-I,1000,10,0.45,0.4,384424.5713393771,100,0.2135629951953888,0.9964538659841506,2.8090085314258983,2.8216388898576024,False,True,506,100,0.2
1354,MMEA-QR,1000,10,0.45,0.4,320298.4456695168,100,0.7776640057563782,0.994958380468225,3.5610041211356216,3.5755199192177547,False,True,506,100,0.2
1355,FAST-LTS,1000,10,0.45,0.4,3081.2030511581343,14,0.28894300386309624,0.999974111560319,0.03644826437303339,0.04328136170562659,False,True,506,100,0.2
1356,MOEA-I,1000,10,0.45,0.4,432281.55227674614,100,0.34244200587272644,0.9819223123967815,14.986093843831656,15.00145691012514,False,True,506,100,0.2
1357,MOEA-QR,1000,10,0.45,0.4,435899.04060085805,100,1.981816053390503,0.9798327689728432,16.073261944194147,16.08864928556109,False,True,506,100,0.2
1358,MMEA-I,1000,10,0.45,0.4,353033.52411493484,100,0.21317599713802338,0.9909207200776521,13.786506474170231,13.797684742479849,False,True,506,100,0.2
1359,MMEA-QR,1000,10,0.45,0.4,340354.71955793735,100,0.7775790095329285,0.9931328335165376,13.674667081905962,13.684244382113834,False,True,506,100,0.2
1360,FAST-LTS,1000,10,0.45,0.4,2740.3430442113145,13,0.2866649962961674,0.9999649503859017,0.1353921913969759,0.13796236149651658,False,True,506,100,0.2
1361,MOEA-I,1000,10,0.45,0.4,669216.9251330835,100,0.3429569900035858,0.9840468762872905,30.763289285590748,30.768748309540772,False,True,506,100,0.2
1362,MOEA-QR,1000,10,0.45,0.4,475626.1165529193,100,1.9773650169372559,0.9938323754705671,22.530259462398387,22.533186608922563,False,True,506,100,0.2
1363,MMEA-I,1000,10,0.45,0.4,570313.2252347434,100,0.2126920074224472,0.9935894892905762,26.852923614569367,26.85559679043728,False,True,506,100,0.2
1364,MMEA-QR,1000,10,0.45,0.4,517377.5676775926,100,0.765330970287323,0.9897871108507023,24.024831458414408,24.02918014071231,False,True,506,100,0.2
1365,FAST-LTS,1000,10,0.45,0.4,2727.465774318368,17,0.28821299597620964,0.9999888873174837,0.37809386575956794,0.3784460622800833,False,True,506,100,0.2
1366,MOEA-I,1000,10,0.45,0.4,135695.45983729078,100,0.3352389931678772,0.9992127160934792,11.23485575036359,11.23599715391746,False,True,506,100,0.2
1367,MOEA-QR,1000,10,0.45,0.4,184763.390864044,100,1.9998680353164673,0.9991601465934936,13.76909241634362,13.770336086155282,False,True,506,100,0.2
1368,MMEA-I,1000,10,0.45,0.4,135566.49286629638,100,0.2119079977273941,0.9995826391683275,10.612179213587568,10.613007190063428,False,True,506,100,0.2
1369,MMEA-QR,1000,10,0.45,0.4,118196.17235268548,100,0.7681710124015808,0.999526003334771,10.364723444210918,10.365859583372682,False,True,506,100,0.2
1370,FAST-LTS,1000,10,0.45,0.4,10584.287401569392,12,0.28570399479940534,0.9999124549454661,0.1385976237001394,0.14475804770714046,False,True,506,100,0.2
1371,MOEA-I,1000,10,0.45,0.4,917149.5539057314,100,0.35270899534225464,0.9839374610549905,1.2518237812831212,1.3772091714022605,False,True,506,100,0.2
1372,MOEA-QR,1000,10,0.45,0.4,1155072.916238039,100,2.048098087310791,0.9373947892835208,1.1668564575644302,1.632477237367714,False,True,506,100,0.2
1373,MMEA-I,1000,10,0.45,0.4,895795.4739188934,100,0.2114270031452179,0.9624970742566803,4.550600663718938,4.634109318449303,False,True,506,100,0.2
1374,MMEA-QR,1000,10,0.45,0.4,829280.4875145893,100,0.7679749727249146,0.9642920233939187,1.1152697522129842,1.4042369251773565,False,True,506,100,0.2
1375,FAST-LTS,1000,10,0.45,0.4,20792.38029486469,15,0.28762300685048103,0.9997322108778872,0.9526650723798943,0.9556461575573048,False,True,506,100,0.2
1376,MOEA-I,1000,10,0.45,0.4,344299.92938942794,100,0.36977899074554443,0.9958281531647782,5.741043838658018,5.754385790357387,False,True,506,100,0.2
1377,MOEA-QR,1000,10,0.45,0.4,398414.4067816528,100,2.048966884613037,0.9948457126999976,7.2567459493500746,7.270174517092052,False,True,506,100,0.2
1378,MMEA-I,1000,10,0.45,0.4,363786.8468331498,100,0.21177199482917786,0.9978219769607016,5.33287352174814,5.339917449344728,False,True,506,100,0.2
