,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
88,MMEA-QR,100,3,0.1,0.0,786.0721076353905,28,0.1184379979968071,0.9901879887193368,2.744161250331486,2.7548330357420614,False,True,52,50,0.2
89,MOEA-QR,100,3,0.1,0.0,786.0721076353905,34,0.29434001445770264,0.9901879887193368,2.744161250331484,2.754833035742059,False,True,52,50,0.2
90,FAST-LTS,100,3,0.1,0.0,458.94347721835936,9,0.0011569999915082008,0.9969249885702776,2.6844403692080103,2.68937126431216,False,True,52,50,0.2
93,MMEA-QR,100,3,0.1,0.0,433.81051378495204,25,0.11533500254154205,0.9974358376991528,0.11450416778558448,0.2562064504337717,False,True,52,50,0.2
94,MOEA-QR,100,3,0.1,0.0,433.8105137849519,23,0.29464200139045715,0.9974358376991528,0.11450416778558335,0.2562064504337708,False,True,52,50,0.2
95,FAST-LTS,100,3,0.1,0.0,65.1183299872078,8,0.0012410000199452045,0.999917646892186,0.95307717005283,0.9535087687408192,False,True,52,50,0.2
98,MMEA-QR,100,3,0.1,0.0,64.92338246611513,27,0.12692399322986606,0.9996951424286856,1.0599438390362714,1.0611147828989669,False,True,52,50,0.2
99,MOEA-QR,100,3,0.1,0.0,64.92338246611503,31,0.30336499214172363,0.9996951424286858,1.0599438390362732,1.0611147828989689,False,True,52,50,0.2
100,FAST-LTS,100,5,0.1,0.0,230.7880805049829,12,0.001483000029111281,0.9980193570180826,1.985526124905376,1.992258160378499,False,True,53,50,0.2
103,MMEA-QR,100,5,0.1,0.0,225.08071423377066,30,0.13585199415683746,0.9979671875067287,1.4457429728275608,1.4525035791165886,False,True,53,50,0.2
104,MOEA-QR,100,5,0.1,0.0,225.08071423377064,30,0.3223620057106018,0.9979671875067287,1.4457429728275617,1.4525035791165897,False,True,53,50,0.2
105,FAST-LTS,100,5,0.1,0.0,38.051220595131454,6,0.0015250000287778676,0.9999658081192744,0.3950651861159337,0.39550038902603657,False,True,53,50,0.2
108,MMEA-QR,100,5,0.1,0.0,32.46957731555321,29,0.149058997631073,0.9999476689182868,1.0504140439491647,1.0507260946805712,False,True,53,50,0.2
109,MOEA-QR,100,5,0.1,0.0,32.32307514499365,27,0.367029994726181,0.9997841604872888,1.2819757523012034,1.2829005432222265,False,True,53,50,0.2
110,FAST-LTS,100,5,0.1,0.0,411.71924304458435,8,0.001445000001695007,0.9887468947508712,0.3625830207075218,0.4903851567741698,False,True,53,50,0.2
113,MMEA-QR,100,5,0.1,0.0,395.1046921109478,21,0.13951799273490906,0.9897744059492436,1.1093280182015093,1.1551319981596206,False,True,53,50,0.2
114,MOEA-QR,100,5,0.1,0.0,395.1046921109477,21,0.3061729967594147,0.9897744059492436,1.1093280182015122,1.1551319981596235,False,True,53,50,0.2
115,FAST-LTS,100,5,0.1,0.0,811.3491789233972,9,0.0014070000033825634,0.9753420214803418,1.402310186673426,1.522188007440578,False,True,53,50,0.2
118,MMEA-QR,100,5,0.1,0.0,692.6809019188357,29,0.13699699938297272,0.978505134937882,1.6047107781319894,1.6918392326663487,False,True,53,50,0.2
119,MOEA-QR,100,5,0.1,0.0,692.6809019188357,24,0.32898199558258057,0.9785051349378822,1.6047107781319916,1.6918392326663505,False,True,53,50,0.2
