,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8
1767,FAST-LTS-MOEA-QR,20,3,0.3,0.4,1.5981350786720347,1,0.008402000181376934,0.9998989110260388,0.1267352964911642,0.1289329967739314,False,True,12,50,0.2,3,5,4,1.1999999999999993,5,0.9200000000000006
1768,MMEA-QR,20,3,0.3,0.4,1.5981350786720363,3,0.006376999896019697,0.9998989110260388,0.12673529649116427,0.12893299677393158,False,True,12,50,0.2,2,3,2,1.5,3,-0.3500000000000001
1769,MOEA-QR,20,3,0.3,0.4,1.5981350786720323,5,0.00824899971485138,0.9998989110260385,0.12673529649116286,0.12893299677393033,False,True,12,50,0.2,3,4,3,2.5,4,0.75
1770,FAST-LTS,20,3,0.3,0.4,133.95327310535026,3,0.0005830000009154901,0.9770376858667259,1.1800769050374942,1.2220993519678085,False,True,12,50,0.2,2,3,2,1.5,3,-0.3500000000000001
1771,FAST-LTS-MMEA-QR,20,3,0.3,0.4,133.95327310535018,2,0.005723999813199043,0.9770376858667258,1.1800769050374935,1.2220993519678078,False,True,12,50,0.2,1,3,2,1.0,3,0.09999999999999998
1772,FAST-LTS-MOEA-QR,20,3,0.3,0.4,133.95327310535015,2,0.0072249998338520536,0.9770376858667258,1.1800769050374948,1.222099351967809,False,True,12,50,0.2,2,3,2,0.7999999999999998,3,1.2800000000000002
1773,MMEA-QR,20,3,0.3,0.4,133.95327310535018,6,0.005590999964624643,0.9770376858667258,1.1800769050374926,1.2220993519678067,False,True,12,50,0.2,3,5,4,3.0,5,1.2999999999999998
1774,MOEA-QR,20,3,0.3,0.4,133.95327310535018,4,0.007158000022172928,0.9770376858667258,1.1800769050374933,1.2220993519678074,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
1775,FAST-LTS,20,3,0.3,0.4,99.12973609507627,3,0.0004940000108035747,0.9999665595420179,0.5073290992520993,0.5075210592398309,False,True,12,50,0.2,2,3,2,1.5,3,0.6499999999999999
1776,FAST-LTS-MMEA-QR,20,3,0.3,0.4,99.12973609507604,2,0.005913000088185072,0.9999665595420179,0.5073290992520966,0.5075210592398282,False,True,12,50,0.2,2,5,2,1.0,5,0.09999999999999998
1777,FAST-LTS-MOEA-QR,20,3,0.3,0.4,99.12973609507608,3,0.008138000033795834,0.9999665595420179,0.5073290992520971,0.5075210592398287,False,True,12,50,0.2,3,4,3,1.0,4,2.1
1778,MMEA-QR,20,3,0.3,0.4,99.12973609507604,7,0.0059449998661875725,0.9999665595420182,0.5073290992521037,0.5075210592398354,False,True,12,50,0.2,4,6,4,3.5,6,0.8500000000000001
