,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
35,FAST-LTS,20,2,0.1,0.0,1.9116791800899176,3,0.00040299999636772554,0.9999163000048543,0.008610512550786709,0.03136575863103247,False,True,12,50,0.2
36,FAST-LTS-MMEA-QR,20,2,0.1,0.0,1.7912166556265126,4,0.0066019999794662,0.9998395479617928,0.1810549593058488,0.18373953920560812,False,True,12,50,0.2
37,FAST-LTS-MOEA-QR,20,2,0.1,0.0,1.7912166556265119,3,0.008647999726235867,0.9998395479617928,0.18105495930584903,0.18373953920560832,False,True,12,50,0.2
38,MMEA-QR,20,2,0.1,0.0,1.7912166556265134,6,0.007017999887466431,0.9998395479617928,0.1810549593058517,0.18373953920561098,False,True,12,50,0.2
39,MOEA-QR,20,2,0.1,0.0,1.791216655626512,7,0.007176999934017658,0.9998395479617928,0.18105495930584914,0.18373953920560843,False,True,12,50,0.2
40,FAST-LTS,20,2,0.1,0.0,138.0753413095569,4,0.0005429999928310281,0.9979746653671822,4.362150958567707,4.3667244408191115,False,True,12,50,0.2
41,FAST-LTS-MMEA-QR,20,2,0.1,0.0,77.92361292440987,5,0.005464000161737204,0.998213095111222,3.220898180292208,3.2221958815597858,False,True,12,50,0.2
42,FAST-LTS-MOEA-QR,20,2,0.1,0.0,77.92361292440985,5,0.006690999958664179,0.998213095111222,3.220898180292205,3.222195881559783,False,True,12,50,0.2
43,MMEA-QR,20,2,0.1,0.0,77.92361292440987,7,0.005319000221788883,0.998213095111222,3.2208981802922096,3.2221958815597875,False,True,12,50,0.2
44,MOEA-QR,20,2,0.1,0.0,77.92361292440985,5,0.006885000038892031,0.998213095111222,3.2208981802922105,3.2221958815597884,False,True,12,50,0.2
45,FAST-LTS,20,2,0.1,0.0,38.827287832276745,5,0.0004149999913352076,0.9962433195363206,0.01398816651671586,0.13098256964382765,False,True,12,50,0.2
46,FAST-LTS-MMEA-QR,20,2,0.1,0.0,38.82728783227667,4,0.005222000181674957,0.9962433195363206,0.013988166516713196,0.13098256964382715,False,True,12,50,0.2
47,FAST-LTS-MOEA-QR,20,2,0.1,0.0,38.82728783227668,4,0.006659999955445528,0.9962433195363208,0.013988166516715195,0.13098256964382668,False,True,12,50,0.2
48,MMEA-QR,20,2,0.1,0.0,38.82728783227669,4,0.004953000228852034,0.9962433195363206,0.013988166516716527,0.13098256964382843,False,True,12,50,0.2
