,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
1154,MMEA-QR,20,2,0.3,1.0,61.268672019941974,6,0.00017100000695791095,0.9998975569717586,1.6446718080739997,1.6449190262689766,False,True,12,1000,0.2
1155,FAST-LTS,20,2,0.3,1.0,61.26867201994189,6,0.000997000010102056,0.9998975569717586,1.6446718080740046,1.6449190262689817,False,True,12,1000,0.2
1156,RBSA,20,2,0.3,1.0,5.584715411028599,805,0.041561998426914215,0.9999935087062334,0.22803451276720024,0.22814975563369877,False,True,12,1000,0.2
1157,RANDOM,20,2,0.3,1.0,13.680809266574414,0,0.002391000045463443,0.999990979727015,0.6284130637574972,0.6286760405641801,False,True,12,1000,0.2
1158,MMEA-QR,20,2,0.3,1.0,4.44266601651112,5,0.0001320000010309741,0.9999384994980379,0.0174062494068139,0.026576901493709334,False,True,12,1000,0.2
1159,FAST-LTS,20,2,0.3,1.0,4.442666016511113,6,0.0009690000188129488,0.999938499498038,0.017406249406817176,0.026576901493711762,False,True,12,1000,0.2
1160,RBSA,100,3,0.3,1.0,453.11653578929827,405,0.19183099269866943,0.9999253376615309,2.2948939481952313,2.295436138596535,False,True,52,1000,0.2
1161,RANDOM,100,3,0.3,1.0,6711.212322663514,0,0.005898000206798315,0.9998347588948095,4.497312833987705,4.501133010013592,False,True,52,1000,0.2
1162,MMEA-QR,100,3,0.3,1.0,234.9674521829806,33,0.003114999970421195,0.9997360084134062,0.03668928839047114,0.0658838061669439,False,True,52,1000,0.2
1163,FAST-LTS,100,3,0.3,1.0,238.41442926125086,11,0.0023769999388605356,0.9998859083550447,0.13414031020349887,0.13912116238210842,False,True,52,1000,0.2
1164,RBSA,100,3,0.3,1.0,290.5852043680838,375,0.1892399936914444,0.9998246954389832,1.5033752064156007,1.5037726059083139,False,True,52,1000,0.2
1165,RANDOM,100,3,0.3,1.0,4149.233704947524,0,0.005894000176340342,0.9805397083079331,2.8002594656836206,2.8223376315466413,False,True,52,1000,0.2
1166,MMEA-QR,100,3,0.3,1.0,174.14526811444978,29,0.0027620000764727592,0.9999300683455935,0.12019641903362831,0.12206079593749242,False,True,52,1000,0.2
1167,FAST-LTS,100,3,0.3,1.0,179.3660140456251,18,0.0026199999847449362,0.9994632283539174,0.0350463149052736,0.07204748459932722,False,True,52,1000,0.2
1168,RBSA,100,3,0.3,1.0,322.33170178496164,615,0.1895730048418045,0.997617910099016,0.4006516656780452,0.4226374732538987,False,True,52,1000,0.2
1169,RANDOM,100,3,0.3,1.0,2861.445916961041,0,0.005781000014394522,0.9984911453937396,0.8122953188514844,0.8181005290526783,False,True,52,1000,0.2
1170,MMEA-QR,100,3,0.3,1.0,206.06531210670238,31,0.0029589999467134476,0.9976871539959584,0.11035990370635904,0.18132265114980103,False,True,52,1000,0.2
1171,FAST-LTS,100,3,0.3,1.0,207.53471530137148,7,0.0024569999950472265,0.9978646758209548,0.17264628717621147,0.21821387191362798,False,True,52,1000,0.2
1172,RBSA,100,3,0.3,1.0,308.0008107096001,525,0.1921370029449463,0.9986993181729715,1.3073263498562966,1.3105400238346958,False,True,52,1000,0.2
1173,RANDOM,100,3,0.3,1.0,1458.2777722078922,0,0.005919000133872032,0.9996206394953154,0.24595990087977218,0.2505150241264233,False,True,52,1000,0.2
1174,MMEA-QR,100,3,0.3,1.0,129.12576380672945,24,0.002380999969318509,0.9998458781246488,0.28535115527455257,0.2869660558733843,False,True,52,1000,0.2
